station,DIFF_TMAX,DIFF_TMIN,DIFF_PRCP,NRECORDS,TMAX,TMIN,PRCP
CA003030450,23.1,116.99,744.57,4,5.775,29.2475,186.1425
ECM00084088,12.13,548.65,0.0,2,6.065,274.325,0.0
IT000016090,186072.1,289823.84,1232403.35,21147,8.79898330732,13.7051988462,58.2779283113
HRE00105210,305742.01,186819.43,3307866.07,22218,13.761005041,8.40847195967,148.88226078
HRE00105217,392862.3,337315.49,2029991.62,22218,17.682163111,15.1820816455,91.3669826267
FRE00104921,389565.01,232336.54,2233325.75,20455,19.0449772672,11.3584228795,109.182388169
FRE00104888,405551.13,325360.91,1532331.94,20821,19.4779852072,15.6265746122,73.595501657
ITE00100550,1416750.26,772487.5,4341845.83,71187,19.9018115667,10.8515248571,60.9921169596
KSW00043247,11259.28,21631.92,105161.67,529,21.2840831758,40.8920982987,198.793327032
FRE00104897,483579.95,560501.79,1576685.67,21551,22.4388636258,26.0081569301,73.1606732866
US1SCAK0032,44.89,9.61,1756.61,2,22.445,4.805,878.305
ALE00108905,416319.55,2850655.96,5051370.31,18110,22.9883793484,157.407838763,278.92712921
FRE00104966,526513.52,733174.69,1576685.67,21551,24.4310482112,34.0204487031,73.1606732866
FR000007354,1010185.52,1652982.14,3052682.43,40908,24.6940823311,40.4073076171,74.6231160164
FRE00104884,542456.21,1389926.31,1576685.67,21551,25.1708138833,64.4947478075,73.1606732866
IT000016239,541246.27,279323.73,1847496.49,21121,25.6259774632,13.2249292174,87.4720178969
KSW00043213,53755.69,37452.6,438871.53,2074,25.9188476374,18.0581485053,211.606330762
KSW00043208,36870.91,26049.92,325162.74,1420,25.9654295775,18.3450140845,228.98784507
FRE00104932,581720.11,779791.4,1630599.47,22312,26.072073772,34.9494173539,73.0817259771
USW00022703,3007.18,2525.32,5325.16,114,26.3787719298,22.1519298246,46.7119298246
GM009031000,320128.53,548416.1,1095217.6,12128,26.3958220646,45.2190056069,90.3048812665
HRE00105196,577187.7,444422.01,2062070.33,21854,26.4110780635,20.3359572618,94.356654617
GM009030500,209177.96,325969.44,679328.97,7895,26.4949917669,41.2880861305,86.0454680177
FRW00034048,149322.35,179440.43,449862.55,5624,26.5509157184,31.906193101,79.9897848506
GMW00034068,629876.34,772085.39,1841781.16,23678,26.6017543711,32.6077113777,77.7844902441
GMW00034046,162272.28,184931.28,485309.28,6100,26.6020131148,30.3166032787,79.5588983607
