,year,tmax,max_tmax,std_tmax,min_tmax,std_tmin,min_tmin,tmin,max_tmin,continent,period
0,1900,11.55,34.2,8.617652294,-10.4,6.583136148,-14.5,4.2,21.0,Europa,1900-2015
1,1901,11.9,33.1,9.452089702,-13.5,7.903590253,-23.8,4.3,20.2,Europa,1900-2015
2,1902,10.55,33.7,8.119003503,-10.6,6.743543352,-17.1,3.1,18.5,Europa,1900-2015
3,1903,12.2,32.4,8.173450783,-11.0,6.421219083,-17.6,4.45,18.2,Europa,1900-2015
4,1904,12.0,35.9,8.692686662,-7.2,6.287935384,-14.0,4.1,19.4,Europa,1900-2015
5,1905,10.8,34.8,8.922668998,-16.4,7.0777754,-23.0,3.2,22.8,Europa,1900-2015
6,1906,13.2,32.9,8.826442448,-10.3,7.168195699,-19.2,4.8,21.0,Europa,1900-2015
7,1907,12.4,32.6,8.638691902,-14.2,6.809787402,-26.3,4.3,18.5,Europa,1900-2015
8,1908,11.1,34.7,8.998456569,-13.3,7.210879671,-19.0,3.5,18.9,Europa,1900-2015
9,1909,12.35,32.0,8.461892519,-10.8,7.02787129,-17.4,4.1,17.0,Europa,1900-2015
10,1910,12.0,32.0,7.798460229,-5.9,6.073845551,-13.0,4.15,20.5,Europa,1900-2015
11,1911,12.65,36.9,9.204324913,-10.9,6.705090081,-19.2,4.85,21.5,Europa,1900-2015
12,1912,11.2,32.2,7.878829664,-12.2,6.402354232,-19.6,4.2,19.0,Europa,1900-2015
13,1913,12.45,30.6,7.524115774,-6.7,5.892776033,-13.8,5.5,18.5,Europa,1900-2015
14,1914,11.7,31.7,8.233844631,-12.4,6.485268564,-14.9,5.2,23.0,Europa,1900-2015
15,1915,11.0,35.0,8.574545541,-9.1,6.518585389,-18.0,4.2,19.5,Europa,1900-2015
16,1916,12.5,29.5,7.410554716,-6.1,5.656499806,-9.3,4.6,17.2,Europa,1900-2015
17,1917,10.5,34.9,10.23899298,-13.4,8.127894079,-23.5,3.5,19.7,Europa,1900-2015
18,1918,12.5,33.1,7.632419987,-9.2,5.978515456,-15.3,5.3,20.1,Europa,1900-2015
19,1919,10.5,34.1,8.780258254,-11.5,6.667230414,-17.3,3.2,19.0,Europa,1900-2015
20,1920,13.1,33.2,7.847661333,-9.3,6.175987565,-12.7,5.2,21.2,Europa,1900-2015
21,1921,13.9,37.3,8.835238594,-8.0,6.684036658,-17.6,4.9,20.4,Europa,1900-2015
22,1922,10.1,36.8,8.757635632,-13.9,7.161173068,-22.9,3.3,20.2,Europa,1900-2015
23,1923,12.5,35.3,8.463950032,-13.8,6.541492565,-27.3,4.5,22.5,Europa,1900-2015
24,1924,11.8,32.4,8.781586984,-8.1,7.282474983,-19.1,4.85,17.5,Europa,1900-2015
25,1925,12.3,34.6,8.520818949,-12.1,6.670882344,-21.7,4.6,19.5,Europa,1900-2015
26,1926,12.85,32.0,8.011650823,-14.5,6.264494996,-19.5,5.2,20.4,Europa,1900-2015
27,1927,12.0,32.3,8.378470812,-14.7,6.605814147,-20.0,4.6,18.6,Europa,1900-2015
28,1928,12.0,35.1,8.252647326,-7.9,6.156848118,-13.0,4.2,19.8,Europa,1900-2015
29,1929,11.8,34.7,10.23132415,-22.6,8.759838619,-29.1,4.55,21.1,Europa,1900-2015
30,1930,12.4,33.7,8.150987679,-7.6,6.178886804,-14.9,5.1,18.8,Europa,1900-2015
31,1931,11.4,32.4,8.947000441,-11.1,7.20755498,-17.8,3.65,19.1,Europa,1900-2015
32,1932,11.5,37.2,8.978445726,-14.5,7.376443604,-19.1,4.3,20.7,Europa,1900-2015
33,1933,12.45,33.7,9.41032886,-13.9,7.554042179,-19.5,4.1,20.0,Europa,1900-2015
34,1934,13.75,33.2,8.641381629,-11.2,6.111896884,-16.5,5.3,18.6,Europa,1900-2015
35,1935,12.25,34.5,9.023893431,-11.4,6.78745312,-15.5,4.2,20.9,Europa,1900-2015
36,1936,11.2,34.7,7.972902598,-7.1,6.093219244,-16.2,4.0,18.0,Europa,1900-2015
37,1937,12.35,35.0,9.046780741,-10.7,6.85710757,-14.4,5.2,19.1,Europa,1900-2015
38,1938,12.7,33.9,8.65834977,-14.5,6.904805347,-19.0,4.9,19.5,Europa,1900-2015
39,1939,11.35,31.6,8.617962153,-11.7,6.777870517,-22.7,4.4,18.3,Europa,1900-2015
40,1940,12.0,30.2,10.09946224,-18.0,8.989347133,-29.1,4.3,16.4,Europa,1900-2015
41,1941,10.7,33.3,9.211878344,-12.7,7.519571448,-21.8,3.0,21.5,Europa,1900-2015
42,1942,13.1,32.8,10.15280623,-16.0,8.463395986,-25.5,4.7,19.5,Europa,1900-2015
43,1943,14.4,37.4,8.612339213,-9.2,6.447123366,-16.6,4.5,22.1,Europa,1900-2015
